iter	Passed	Remaining
0	2	285
1	5	289
2	8	281
3	10	257
4	13	251
5	15	245
6	18	242
7	20	239
8	23	236
9	25	233
10	28	228
11	30	226
12	32	220
13	34	213
14	36	209
15	38	203
16	41	201
17	43	196
18	45	194
19	47	190
20	49	186
21	51	183
22	54	181
23	56	179
24	58	176
25	60	173
26	62	169
27	64	166
28	66	163
29	68	159
30	70	157
31	72	155
32	75	152
33	77	149
34	79	146
35	80	143
36	82	141
37	85	138
38	87	136
39	89	134
40	91	132
41	92	128
42	94	125
43	96	122
44	98	120
45	100	118
46	103	116
47	104	113
48	107	112
49	109	109
50	111	107
51	113	104
52	115	102
53	117	100
54	119	97
55	121	95
56	123	93
57	125	91
58	128	88
59	130	86
60	132	84
61	135	82
62	137	80
63	139	78
64	142	76
65	144	74
66	146	72
67	149	70
68	151	68
69	153	65
70	155	63
71	158	61
72	159	59
73	161	56
74	163	54
75	165	52
76	167	50
77	169	47
78	172	45
79	174	43
80	176	41
81	178	39
82	180	36
83	182	34
84	184	32
85	185	30
86	188	28
87	190	25
88	192	23
89	194	21
90	196	19
91	198	17
92	200	15
93	203	12
94	205	10
95	207	8
96	209	6
97	211	4
98	213	2
99	215	0
